#SampleID,faith_pd
P5_B6.mzML,3776.694138
P5_B9.mzML,3890.591735
P5_C1.mzML,4381.197608
P5_C10.mzML,3658.349239
P5_C11.mzML,3759.362908
P5_C12.mzML,4523.495637
P5_C2.mzML,4001.703842
P5_C3.mzML,4275.755836
P5_C4.mzML,4313.807344
P5_C5.mzML,3667.682079
P5_C6.mzML,3958.732134
P5_C9.mzML,3921.211806
P5_D1.mzML,4437.196623
P5_D10.mzML,4114.87417
P5_D11.mzML,4881.318982
P5_D12.mzML,4780.315513
P5_D2.mzML,3774.248151
P5_D3.mzML,4108.951765
P5_D4.mzML,4013.241488
P5_D5.mzML,3972.917979
P5_D6.mzML,4227.398133
P5_D9.mzML,3943.901251
P5_E1.mzML,4011.991313
P5_E10.mzML,4458.023668
P5_E11.mzML,4331.972941
P5_E12.mzML,4089.032776
P5_E2.mzML,3924.981315
P5_E3.mzML,3761.449583
P5_E4.mzML,3802.922916
P5_E5.mzML,3847.527183
P5_E6.mzML,3583.888243
P5_E9.mzML,4271.0012
P5_F1.mzML,4403.858244
P5_F10.mzML,4245.490108
P5_F11.mzML,4232.070217
P5_F12.mzML,4691.032137
P5_F2.mzML,4408.043689
P5_F3.mzML,3793.997101
P5_F4.mzML,3939.966387
P5_F5.mzML,4184.375023
P5_F6.mzML,4064.021766
P5_F9.mzML,4228.884591
P5_G1.mzML,4731.788879
P5_G10.mzML,3886.618386
P5_G11.mzML,3648.039599
P5_G12.mzML,4591.012294
P5_G2.mzML,4041.000966
P5_G3.mzML,3986.672472
P5_G4.mzML,3848.619512
P5_G5.mzML,4186.901761
P5_G6.mzML,3629.514715
P5_G9.mzML,3843.305981
P5_H1.mzML,4646.107137
P5_H10.mzML,4440.660496
P5_H11.mzML,4243.599179
P5_H12.mzML,4694.668897
P5_H2.mzML,4001.629034
P5_H3.mzML,4677.783831
P5_H4.mzML,4181.66098
P5_H5.mzML,4131.620747
P5_H6.mzML,4045.046504
P5_H9.mzML,4129.867392
P6_A1.mzML,4701.211385
P6_A10.mzML,3640.341549
P6_A11.mzML,4247.128109
P6_A12.mzML,4078.006582
P6_A2.mzML,4493.631243
P6_A3.mzML,3959.872943
P6_A4.mzML,4015.402299
P6_A5.mzML,4042.275462
P6_A8.mzML,3647.860003
P6_A9.mzML,4550.287389
P6_B1.mzML,4384.636297
P6_B10.mzML,3712.807375
P6_B11.mzML,3627.631885
P6_B12.mzML,3621.04939
P6_B2.mzML,3720.210763
P6_B3.mzML,3984.093864
P6_B4.mzML,4215.733914
P6_B5.mzML,3707.722871
P6_B8.mzML,3729.29622
P6_B9.mzML,4135.974517
P6_C1.mzML,4066.913262
P6_C10.mzML,3905.062439
P6_C11.mzML,4015.057194
P6_C12.mzML,4121.485303
P6_C2.mzML,4106.75723
P6_C3.mzML,4190.258272
P6_C4.mzML,3726.578226
P6_C5.mzML,3831.155076
P6_C8.mzML,3757.348707
P6_C9.mzML,3321.937126
P6_D1.mzML,4581.743935
P6_D10.mzML,3955.69415
P6_D11.mzML,4050.527936
P6_D12.mzML,3681.327806
P6_D2.mzML,3992.916201
P6_D3.mzML,3961.517243
P6_D4.mzML,3999.037552
P6_D5.mzML,4024.776823
P6_D8.mzML,3848.136589
P6_D9.mzML,3826.455319
P6_E1.mzML,4243.963271
P6_E10.mzML,3891.315415
P6_E11.mzML,3485.05569
P6_E12.mzML,3938.465093
P6_E2.mzML,3917.780428
P6_E3.mzML,4627.789414
P6_E4.mzML,4044.758321
P6_E5.mzML,4291.100168
P6_E8.mzML,4188.443783
P6_E9.mzML,4208.685438
P6_F1.mzML,4141.831774
P6_F10.mzML,3898.048019
P6_F11.mzML,3935.836899
P6_F12.mzML,3988.466924
P6_F2.mzML,3963.894125
P6_F3.mzML,4008.471116
P6_F4.mzML,4158.562804
P6_F5.mzML,4104.700235
P6_F8.mzML,4218.686122
P6_F9.mzML,3760.795908
P6_G1.mzML,4197.118915
P6_G10.mzML,4152.121547
P6_G11.mzML,4053.967747
P6_G12.mzML,4768.511436
P6_G2.mzML,4108.650378
P6_G3.mzML,4331.029967
P6_G4.mzML,3813.056398
P6_G5.mzML,3817.790419
P6_G8.mzML,4515.685265
P6_G9.mzML,3936.896338
P6_H1.mzML,4556.474437
P6_H10.mzML,4532.347655
P6_H11.mzML,4103.662867
P6_H2.mzML,4089.597816
P6_H3.mzML,4309.996745
P6_H4.mzML,4587.176523
P6_H5.mzML,4408.311454
P6_H8.mzML,3882.38843
P6_H9.mzML,4303.107282
P7_A1.mzML,4229.161599
P7_A10.mzML,3962.781902
P7_A11.mzML,4135.668392
P7_A12.mzML,3876.838047
P7_A2.mzML,4090.463148
P7_A3.mzML,4423.878469
P7_A4.mzML,3383.516999
P7_A7.mzML,3518.982632
P7_A8.mzML,3622.940157
P7_A9.mzML,3832.849033
P7_B1.mzML,4087.852806
P7_B10.mzML,3792.151516
P7_B11.mzML,4135.662572
P7_B12.mzML,4342.347042
P7_B2.mzML,3905.313225
P7_B3.mzML,3612.240105
P7_B4.mzML,4228.143852
P7_B7.mzML,4396.342244
P7_B8.mzML,3827.12956
P7_B9.mzML,4168.499348
P7_C1.mzML,4045.652759
P7_C10.mzML,4302.403574
P7_C11.mzML,3649.591124
P7_C12.mzML,4107.366486
P7_C2.mzML,4125.2583
P7_C3.mzML,4167.013439
P7_C4.mzML,3778.577187
P7_C7.mzML,4019.906526
P7_C8.mzML,3678.960515
P7_C9.mzML,3839.865593
P7_D1.mzML,3758.409469
P7_D10.mzML,4349.937942
P7_D11.mzML,3722.592717
P7_D12.mzML,3459.078714
P7_D2.mzML,4025.338641
P7_D3.mzML,4013.338978
P7_D4.mzML,3768.027729
P7_D7.mzML,3363.106138
P7_D8.mzML,4147.79234
P7_D9.mzML,3989.794542
P7_E1.mzML,4091.408271
P7_E10.mzML,4055.570292
P7_E11.mzML,3990.2159
P7_E12.mzML,4481.15374
P7_E2.mzML,4017.364177
P7_E3.mzML,4246.528719
P7_E4.mzML,3804.969751
P7_E7.mzML,3926.845969
P7_E8.mzML,3838.324589
P7_E9.mzML,3764.740336
P7_F1.mzML,3870.048499
P7_F10.mzML,3860.173596
P7_F11.mzML,3890.142488
P7_F12.mzML,4514.973292
P7_F2.mzML,3831.546708
P7_F3.mzML,4037.314248
P7_F4.mzML,3925.028448
P7_F7.mzML,3996.297271
P7_F8.mzML,4085.458242
P7_F9.mzML,3663.971422
P7_G1.mzML,4264.487246
P7_G10.mzML,4713.847274
P7_G11.mzML,4165.668654
P7_G12.mzML,4583.949282
P7_G2.mzML,3957.572709
P7_G3.mzML,3952.114653
P7_G4.mzML,3967.7338
P7_G7.mzML,4064.958474
P7_G8.mzML,3871.404388
P7_G9.mzML,3779.099981
P7_H1.mzML,5086.476361
P7_H10.mzML,4536.007899
P7_H11.mzML,4342.662195
P7_H12.mzML,4557.635797
P7_H2.mzML,4238.37789
P7_H3.mzML,4271.045074
P7_H4.mzML,4312.735518
P7_H7.mzML,4234.328674
P7_H8.mzML,3486.436562
P7_H9.mzML,4371.827674
P8_A1.mzML,4079.558776
P8_A10.mzML,4165.840536
P8_A11.mzML,3785.808438
P8_A12.mzML,4000.366831
P8_A2.mzML,4088.898635
P8_A3.mzML,4089.411404
P8_A6.mzML,4142.915927
P8_A7.mzML,4376.241359
P8_A8.mzML,4203.839037
P8_A9.mzML,3821.634295
P8_B1.mzML,4001.957871
P8_B10.mzML,4119.331963
P8_B11.mzML,4205.395075
P8_B12.mzML,4215.300315
P8_B2.mzML,4256.024655
P8_B3.mzML,4254.599204
P8_B6.mzML,4266.280959
P8_B7.mzML,4140.568321
P8_B8.mzML,3692.000546
P8_B9.mzML,3530.703934
P8_C1.mzML,4438.882764
P8_C10.mzML,4083.747008
P8_C11.mzML,4164.251674
P8_C12.mzML,3883.766572
P8_C2.mzML,4121.93919
P8_C3.mzML,3818.020507
P8_C6.mzML,3998.794041
P8_C7.mzML,3643.721619
P8_C8.mzML,3716.209383
P8_C9.mzML,4155.187281
P8_D1.mzML,4793.440881
P8_D10.mzML,3885.117701
P8_D11.mzML,4005.936946
P8_D12.mzML,4069.568241
P8_D2.mzML,3901.668742
P8_D3.mzML,3943.777121
P8_D6.mzML,3980.9916
P8_D7.mzML,4327.293359
P8_D8.mzML,4153.037417
P8_D9.mzML,3688.476155
P8_E1.mzML,4126.95897
P8_E10.mzML,3701.581112
P8_E11.mzML,3713.000757
P8_E12.mzML,4383.000574
P8_E2.mzML,4774.367168
P8_E3.mzML,4136.995064
P8_E6.mzML,4172.550593
P8_E7.mzML,3689.696226
P8_E8.mzML,3966.578531
P8_E9.mzML,3908.565621
P8_F1.mzML,4145.034696
P8_F10.mzML,3891.06908
P8_F11.mzML,3733.520792
P8_F12.mzML,4004.649463
P8_F2.mzML,4229.092976
P8_F3.mzML,3701.530213
P8_F6.mzML,3910.779364
P8_F7.mzML,4034.312861
P8_F8.mzML,4038.102181
P8_F9.mzML,3591.830739
P8_G10.mzML,4275.937641
P8_G11.mzML,4163.376289
P8_G12.mzML,3962.911835
P8_G2.mzML,3902.713467
P8_G3.mzML,4787.488073
P8_G6.mzML,3770.399398
P8_G7.mzML,3994.812918
P8_G8.mzML,4164.943787
P8_G9.mzML,3781.337948
P8_H10.mzML,4340.85744
P8_H11.mzML,4108.39471
P8_H12.mzML,4448.842133
P8_H2.mzML,4368.065236
P8_H3.mzML,4252.576907
P8_H6.mzML,4240.869768
P8_H7.mzML,4347.890579
P8_H8.mzML,3824.993606
P8_H9.mzML,3651.536612
P9_A1.mzML,3795.089074
P9_A10.mzML,4118.326301
P9_A11.mzML,4498.937792
P9_A12.mzML,4345.575194
P9_A2.mzML,3960.772476
P9_A5.mzML,3793.622159
P9_A6.mzML,4071.555381
P9_A7.mzML,4312.66615
P9_A8.mzML,3891.480758
P9_A9.mzML,3696.470927
P9_B1.mzML,3822.461075
P9_B10.mzML,4235.203662
P9_B11.mzML,4005.748065
P9_B12.mzML,4248.278829
P9_B2.mzML,3651.235448
P9_B5.mzML,3627.19684
P9_B6.mzML,4090.376402
P9_B7.mzML,4261.967851
P9_B8.mzML,3895.862337
P9_B9.mzML,3902.147545
P9_C1.mzML,4052.944941
P9_C10.mzML,3913.449676
P9_C11.mzML,4496.626747
P9_C12.mzML,3803.27111
P9_C2.mzML,3980.512863
P9_C5.mzML,4385.351449
P9_C6.mzML,4431.196126
P9_C7.mzML,3930.084137
P9_C8.mzML,3851.439808
P9_C9.mzML,3808.149185
P9_D1.mzML,4517.614373
P9_D10.mzML,4240.180782
P9_D11.mzML,3828.778864
P9_D12.mzML,4132.996249
P9_D2.mzML,3840.940251
P9_D5.mzML,4151.403151
P9_D6.mzML,3817.584058
P9_D7.mzML,3674.391531
P9_D8.mzML,3734.808561
P9_D9.mzML,3742.716472
P9_E1.mzML,4139.052025
P9_E10.mzML,3808.765983
P9_E11.mzML,3786.641829
P9_E12.mzML,4185.23702
P9_E2.mzML,4436.57849
P9_E5.mzML,3982.128322
P9_E6.mzML,4054.649231
P9_E7.mzML,4193.758025
P9_E8.mzML,3894.829018
P9_E9.mzML,4122.944546
P9_F1.mzML,3831.457128
P9_F10.mzML,4293.125756
P9_F11.mzML,3970.357121
P9_F12.mzML,4432.500947
P9_F2.mzML,3889.179595
P9_F5.mzML,4197.847182
P9_F6.mzML,3739.520915
P9_F7.mzML,3999.569717
P9_F8.mzML,4291.271663
P9_F9.mzML,4156.711272
P9_G1.mzML,3781.575234
P9_G10.mzML,4049.689734
P9_G11.mzML,4243.362477
P9_G12.mzML,4384.692166
P9_G2.mzML,3612.587733
P9_G5.mzML,3983.21211
P9_G6.mzML,3785.184805
P9_G7.mzML,3946.624731
P9_G8.mzML,3758.869378
P9_G9.mzML,4025.268977
P9_H1.mzML,4215.680911
P9_H10.mzML,4037.783921
P9_H11.mzML,3980.773028
P9_H12.mzML,4070.354672
P9_H2.mzML,4170.639987
P9_H5.mzML,4103.438989
P9_H6.mzML,3842.544561
P9_H7.mzML,4229.915889
P9_H8.mzML,3726.326078
P9_H9.mzML,3884.931658
