"","cluster.index","keep_test","3DMM","3DMM-Blank","Urbanization-Blank","Urbanization-City","Urbanization-Jungle","Urbanization-Rural","Urbanization-Town"
"19205",587368,FALSE,0,0,0,0,0,0,65256
"19206",587398,FALSE,0,0,0,11516,16020,0,0
"19207",587408,FALSE,0,0,0,0,12776,0,63528
"19208",587440,FALSE,2624860,0,0,0,0,0,0
"19209",587470,FALSE,0,0,0,0,0,0,112096
"19210",587476,FALSE,0,0,0,38072,2030052,886612,38076
"19211",587492,FALSE,0,0,0,281228,19637580,4678934,0
"19212",587500,FALSE,0,0,0,0,0,93888,0
"19213",587523,FALSE,62783678,0,0,0,0,0,0
"19214",587526,FALSE,1262429650,4349036,0,0,0,0,0
"19215",587527,FALSE,67838834,35460494,0,0,0,0,0
"19216",587528,FALSE,0,0,0,0,0,0,512
"19217",587539,FALSE,24657992,0,0,0,0,0,0
"19218",587569,FALSE,4814389.5,340798,0,0,0,0,0
"19219",587571,FALSE,0,4129683,0,0,0,0,0
"19220",587579,FALSE,4466218.9,236518,0,0,0,0,0
"19221",587581,FALSE,10375556,0,0,0,0,0,0
"19222",587582,FALSE,541557350,0,0,0,0,0,0
"19223",587583,FALSE,653237,1302220,0,0,0,0,0
"19224",587586,FALSE,144747389,449537,0,0,0,0,0
"19225",587587,FALSE,0,0,0,149444,0,0,0
"19226",587588,FALSE,4225740,0,0,0,0,0,0
"19227",587590,FALSE,0,0,0,11690208,0,43968,302112
"19228",587594,FALSE,0,0,0,107716,0,0,0
"19229",587599,FALSE,32848100,2196608,0,0,0,0,0
"19230",587600,FALSE,3253379020,118768838,0,0,0,0,0
"19231",587601,FALSE,48759364,0,0,0,0,0,0
"19232",587602,FALSE,88929410,0,0,0,0,0,0
"19233",587603,FALSE,10370440,0,0,0,0,0,0
"19234",587604,FALSE,21844229,43006309,0,0,0,0,0
"19235",587608,FALSE,4230220,0,0,0,0,0,0
"19236",587614,FALSE,20306230,0,0,0,0,0,0
"19237",587617,FALSE,3136547538,3485420,0,0,0,0,0
"19238",587618,FALSE,0,15729845,0,0,0,0,0
"19239",587620,FALSE,0,8932430,0,0,0,0,0
"19240",587622,FALSE,1719608711,0,0,0,0,0,0
"19241",587623,FALSE,3050305037.9,54342930,0,0,0,0,0
"19242",587625,FALSE,2420490,0,0,0,0,0,0
"19243",587626,FALSE,5392932,17269403,0,0,0,0,0
"19244",587628,FALSE,0,0,6712,7244,0,0,0
"19245",587634,FALSE,5326972,861594,0,0,0,0,0
"19246",587650,FALSE,0,0,0,0,324432,371316,113992
"19247",587661,FALSE,0,0,0,0,333696,1611120,446536
"19248",587678,FALSE,0,0,0,0,475012,1468740,557404
"19249",587681,FALSE,0,0,0,0,353280,356872,586364
"19250",587694,FALSE,0,0,0,0,422716,700284,716192
"19251",587695,FALSE,0,0,0,0,440724,1124728,523280
"19252",587699,FALSE,0,0,0,0,1045728,399188,1172764
"19253",587726,FALSE,0,0,0,0,53980,185064,46344
"19254",587943,FALSE,0,0,0,0,0,0,49440
"19255",588211,FALSE,1996271885.7,125116846.1,0,0,0,0,0
"19256",588214,FALSE,19999279,0,0,0,0,0,0
"19257",588229,FALSE,374390.5,0,0,0,0,0,0
"19258",588296,FALSE,4853752,623174,0,0,0,0,0
"19259",588308,FALSE,65131492,0,0,0,0,0,0
"19260",588309,FALSE,58953570,0,0,0,0,0,0
"19261",588311,FALSE,1540330293,0,0,0,0,0,0
"19262",588312,FALSE,2359139,23808544,0,0,0,0,0
"19263",588314,FALSE,0,5092464,0,0,0,0,0
"19264",588315,FALSE,0,0,0,0,0,46200,646380
"19265",588316,FALSE,79384536,0,0,0,0,0,0
"19266",588317,FALSE,0,2375210,0,0,0,0,0
"19267",588319,FALSE,0,0,0,471044,56168,0,0
"19268",588320,FALSE,0,0,0,2508,0,0,2092
"19269",588328,TRUE,5776450,0,0,250768,208044,351684,431680
"19270",588344,TRUE,0,0,0,56944,70420,78520,104228
"19271",588347,FALSE,5463556,0,0,0,0,0,0
"19272",588362,FALSE,0,0,0,17504,0,34888,12348
"19273",588365,FALSE,0,0,0,0,15540,11308,0
"19274",588366,FALSE,0,0,0,61324,17092,33948,0
"19275",588367,TRUE,0,0,0,85076,88480,18084,10536
"19276",588382,FALSE,0,0,0,40992,13628,37604,50596
"19277",588409,FALSE,0,0,0,47256,49168,33576,0
"19278",588454,FALSE,0,0,0,33660,0,0,0
"19279",588509,FALSE,0,0,0,14244,16288,0,17160
"19280",588572,FALSE,0,0,0,34424,0,0,25760
"19281",588774,FALSE,38365950,3302420,0,0,0,0,0
"19282",588775,FALSE,45816290,0,0,0,0,0,0
"19283",588776,FALSE,71882590,0,0,0,0,0,0
"19284",588777,FALSE,15708110,0,0,0,0,0,0
"19285",588779,FALSE,185299.9,0,0,0,0,0,0
"19286",588940,FALSE,0,0,1269104,0,0,0,0
"19287",589399,FALSE,0,0,0,0,275332,0,0
"19288",589518,FALSE,0,0,0,0,0,0,1473288
"19289",589556,FALSE,0,0,105972,1071464,0,0,0
"19290",590682,FALSE,0,0,0,105904,0,0,0
"19291",590683,FALSE,16015467,0,0,0,0,0,0
"19292",590685,FALSE,0,0,0,0,0,0,36440
